,SMILES,Genotoxicity(0.5기준)
320,COS([O-])(=O)=O.CCCCCCCCCCCC(=O)NCCC[N+](C)(C)C,0
321,CCCCOC(=O)CCCCC(=O)OCCCC,0
322,NCl,0
323,O=C1CCCCCCCCCCCCCCO1,0
324,COC(=O)NC1=NC2=CC=CC=C2N1,1
325,[Na+].O=C1C[N]23CC[N]45CC(=O)[O-][Fe+3]24([O-]1)([O-]C1=CC=CC=C1C3)[O-]C1=CC=CC=C1C5,0
326,O=C1CN(CC2=CC=CC=C2)CC(=O)N1CCC1=CC=CC=C1,1
327,CCCCCCC(O)CCCCCCCCCCC(O)=O,0
328,CCCCCCC(O)CCCCCCCCCCC(=O)NCCO,0
329,C\C(CO)=C\CC1CC=C(C)C1(C)C,0
330,CC\C(CO)=C/CC1CC=C(C)C1(C)C,0
331,CCCCC(CC)CNCC(CC)CCCC,0
332,CC(C)CCCC(C)CCO,0
333,CC(CCO)CCC=C(C)C,0
334,CC(CCC=C(C)C)CC=O,0
335,CC(C)=CCC\C(C)=C\CO,0
336,CC(C)=CCC\C(C)=C/CO,0
337,CC(C)=CCC\C(C)=C/C=O,0
338,CCCC(=O)OCCC(C)C,0
339,CCCCCCC(=O)OCC,0
340,CCCCCCCC(=O)OCC,0
341,[Na+].[Na+].[Na+].NC(=O)NC1=CC(NC2=NC(NCCOCCS(=O)(=O)C=C)=NC(F)=N2)=CC=C1N=NC1=CC2=C(C=C(C=C2C=C1S([O-])(=O)=O)S([O-])(=O)=O)S([O-])(=O)=O,0
342,CCCOC(=O)CC,0
343,CC(C)(C)C1=CC2=C(OP(O)(=O)OC3=C(C2)C=C(C=C3C(C)(C)C)C(C)(C)C)C(=C1)C(C)(C)C,0
344,[Na+].[Na+].[Na+].[O-]S(=O)(=O)C1=CC=C2C(=O)O[Cu++]34OC5=C(C=C(C=C5NC5=NC(F)=NC(NCCOCCS(=O)(=O)C=C)=N5)S([O-])(=O)=O)[N]3=N[C-](N=[N]4C2=C1)C1=CC=CC=C1,0
345,C1CCC(CC1)NC1CCCCC1.[H][C@@](CC(C)(C)F)(N[C@@]([H])(C1=CC=C(C=C1)C1=CC=C(C=C1)S(C)(=O)=O)C(F)(F)F)C(O)=O,0
346,CC1=CC=C(C)C=C1,0
347,CC1=CC=C(Cl)C=C1,0
348,CC1=CC=C(O)C=C1,0
349,[Na+].[Na+].NC1=C(N=NC2=CC=C(C=C2)[N+]([O-])=O)C(=CC2=CC(=C(N=NC3=CC=CC=C3)C(O)=C12)S([O-])(=O)=O)S([O-])(=O)=O,0
350,CCC(C)N1N=CN(C1=O)C1=CC=C(C=C1)N1CCN(CC1)C1=CC=C(O)C=C1,0
351,ClC1=CC=C(Cl)C=C1,0
352,NC1=CC=C(Cl)C=C1,1
353,OC1=CC=C(Cl)C=C1,1
354,CC1=CC=C(N)C=C1,0
355,NC1=CC=C(N)C=C1,0
356,O=C1C=CC(=O)C=C1,1
357,CN1CCN(C)CC1,0
358,[Cr+3].CC([O-])=O.CC([O-])=O.CC([O-])=O,0
359,[NH4+].OC([O-])=O,0
360,C[SiH](C)Cl,0
361,CC(C)COC(=O)C=C,0
362,C[Si](C)(C)O,0
363,COC(=O)CCC(=O)OC,0
364,CCCCCC(=O)CC,0
365,[Sr++].CC(C)(C)CCCCCC([O-])=O.CC(C)(C)CCCCCC([O-])=O,0
366,CCCCCC(=O)OC,0
367,OCP(=O)(CO)CO,0
368,CCC[Si](OC)(OC)OC,0
369,CC(CCC=C(C)C)C=O,0
370,CCCC[Sn](CCCC)(OC(C)=O)OC(C)=O,0
371,ClC(=O)OCCOCCOC(Cl)=O,0
372,COCCO[Si](OCCOC)(OCCOC)C=C,0
373,ClCC(=O)OCCOCCOC(=O)CCl,0
374,CCOP(=O)(CC=C)OCC,0
375,COC(=O)CCCCCCCCC(=O)OC,0
376,CC(C)(O)C(=O)C1=CC=C(OCCO)C=C1,0
377,CC(C)(C)OOC(C)(C)C#CC(C)(C)OOC(C)(C)C,0
378,CCC1CO1,1
379,ClCC1CO1,1
380,CC(=C)C(=O)OCC1CO1,1
381,CCCCCCCCCCCCC1CC(=O)N(C2CC(C)(C)N(C(C)=O)C(C)(C)C2)C1=O,0
382,C=CCOCC1CO1,1
383,BrCCBr,1
384,CCCBr,0
385,CCCC,0
